02:43:42 | INFO | Logging initialized. Log file: outputs\damped_oscillator_pinn_20260221_024342\train.log
02:43:42 | INFO | Initializing Trainer...
02:43:42 | INFO | Configs: {'run_name': 'damped_oscillator_pinn', 'seed': 42, 'device': 'auto', 'optimizer': {'adam': {'use_adam': True, 'epochs': 100000, 'lr': 0.0001}, 'lbfgs': {'use_lbfgs': True, 'lr': 1.0, 'max_iter': 25000, 'history_size': 100}}, 'resample_period': 10000, 'batch_size': 1024, 'network': 'fcnn', 'input_dim': 2, 'hidden_dim': 100, 'hidden_layers': 4, 'activation': 'tanh', 't_min': 0.0, 't_max': 20.0, 'xi_min': 0.1, 'xi_max': 0.4, 'n_collocation': 10000, 'n_initial': 1000, 'n_test': 5000, 'x_0': 0.7, 'v_0': 1.2, 'log_interval': 100}
02:43:43 | INFO | Starting Adam training
02:43:43 | INFO | [Adam] Epoch 0 | Loss: 2.253238e+02
02:43:52 | INFO | [Adam] Epoch 1000 | Loss: 3.110864e+01
02:44:00 | INFO | [Adam] Epoch 2000 | Loss: 1.720774e+01
02:44:10 | INFO | [Adam] Epoch 3000 | Loss: 1.561313e+01
02:44:24 | INFO | [Adam] Epoch 4000 | Loss: 1.556968e+01
02:44:33 | INFO | [Adam] Epoch 5000 | Loss: 1.556692e+01
02:44:41 | INFO | [Adam] Epoch 6000 | Loss: 1.556511e+01
02:44:50 | INFO | [Adam] Epoch 7000 | Loss: 1.556396e+01
02:44:58 | INFO | [Adam] Epoch 8000 | Loss: 1.556323e+01
02:45:06 | INFO | [Adam] Epoch 9000 | Loss: 1.556278e+01
02:45:15 | INFO | [Adam] Epoch 10000 | Loss: 1.542981e+01
02:45:24 | INFO | [Adam] Epoch 11000 | Loss: 1.355162e+01
02:45:31 | INFO | [Adam] Epoch 12000 | Loss: 3.508770e+00
02:45:39 | INFO | [Adam] Epoch 13000 | Loss: 2.290274e+00
02:45:47 | INFO | [Adam] Epoch 14000 | Loss: 1.688095e+00
02:45:55 | INFO | [Adam] Epoch 15000 | Loss: 1.292741e+00
02:46:03 | INFO | [Adam] Epoch 16000 | Loss: 1.012550e+00
02:46:13 | INFO | [Adam] Epoch 17000 | Loss: 8.014498e-01
02:46:23 | INFO | [Adam] Epoch 18000 | Loss: 6.376923e-01
02:46:31 | INFO | [Adam] Epoch 19000 | Loss: 5.096327e-01
02:46:40 | INFO | [Adam] Epoch 20000 | Loss: 3.828538e-01
02:46:52 | INFO | [Adam] Epoch 21000 | Loss: 3.103512e-01
02:47:03 | INFO | [Adam] Epoch 22000 | Loss: 2.517512e-01
02:47:14 | INFO | [Adam] Epoch 23000 | Loss: 2.046886e-01
02:47:25 | INFO | [Adam] Epoch 24000 | Loss: 1.672148e-01
02:47:37 | INFO | [Adam] Epoch 25000 | Loss: 1.374332e-01
02:47:48 | INFO | [Adam] Epoch 26000 | Loss: 1.140769e-01
02:47:59 | INFO | [Adam] Epoch 27000 | Loss: 9.580757e-02
02:48:11 | INFO | [Adam] Epoch 28000 | Loss: 8.132591e-02
02:48:22 | INFO | [Adam] Epoch 29000 | Loss: 6.986912e-02
02:48:34 | INFO | [Adam] Epoch 30000 | Loss: 6.125790e-02
02:48:42 | INFO | [Adam] Epoch 31000 | Loss: 5.386649e-02
02:48:51 | INFO | [Adam] Epoch 32000 | Loss: 4.784307e-02
02:49:01 | INFO | [Adam] Epoch 33000 | Loss: 4.286341e-02
02:49:10 | INFO | [Adam] Epoch 34000 | Loss: 3.865527e-02
02:49:19 | INFO | [Adam] Epoch 35000 | Loss: 3.509289e-02
02:49:28 | INFO | [Adam] Epoch 36000 | Loss: 3.204314e-02
02:49:37 | INFO | [Adam] Epoch 37000 | Loss: 2.939692e-02
02:49:46 | INFO | [Adam] Epoch 38000 | Loss: 2.709816e-02
02:49:55 | INFO | [Adam] Epoch 39000 | Loss: 2.508624e-02
02:50:03 | INFO | [Adam] Epoch 40000 | Loss: 2.425873e-02
02:50:09 | INFO | [Adam] Epoch 41000 | Loss: 2.260055e-02
02:50:17 | INFO | [Adam] Epoch 42000 | Loss: 2.113104e-02
02:50:26 | INFO | [Adam] Epoch 43000 | Loss: 1.982186e-02
02:50:35 | INFO | [Adam] Epoch 44000 | Loss: 1.865066e-02
02:50:44 | INFO | [Adam] Epoch 45000 | Loss: 1.758749e-02
02:50:54 | INFO | [Adam] Epoch 46000 | Loss: 1.662570e-02
02:51:03 | INFO | [Adam] Epoch 47000 | Loss: 1.574932e-02
02:51:12 | INFO | [Adam] Epoch 48000 | Loss: 1.494810e-02
02:51:21 | INFO | [Adam] Epoch 49000 | Loss: 1.420550e-02
02:51:31 | INFO | [Adam] Epoch 50000 | Loss: 1.264303e-02
02:51:40 | INFO | [Adam] Epoch 51000 | Loss: 1.183414e-02
02:51:49 | INFO | [Adam] Epoch 52000 | Loss: 1.131243e-02
02:51:58 | INFO | [Adam] Epoch 53000 | Loss: 1.082397e-02
02:52:07 | INFO | [Adam] Epoch 54000 | Loss: 1.036799e-02
02:52:15 | INFO | [Adam] Epoch 55000 | Loss: 9.942867e-03
02:52:23 | INFO | [Adam] Epoch 56000 | Loss: 9.544487e-03
02:52:31 | INFO | [Adam] Epoch 57000 | Loss: 9.169849e-03
02:52:38 | INFO | [Adam] Epoch 58000 | Loss: 8.819000e-03
02:52:46 | INFO | [Adam] Epoch 59000 | Loss: 8.688806e-03
02:52:55 | INFO | [Adam] Epoch 60000 | Loss: 8.895295e-03
02:53:03 | INFO | [Adam] Epoch 61000 | Loss: 8.486183e-03
02:53:11 | INFO | [Adam] Epoch 62000 | Loss: 8.148698e-03
02:53:19 | INFO | [Adam] Epoch 63000 | Loss: 7.829908e-03
02:53:27 | INFO | [Adam] Epoch 64000 | Loss: 7.529632e-03
02:53:35 | INFO | [Adam] Epoch 65000 | Loss: 7.317110e-03
02:53:43 | INFO | [Adam] Epoch 66000 | Loss: 6.977498e-03
02:53:52 | INFO | [Adam] Epoch 67000 | Loss: 6.778507e-03
02:54:01 | INFO | [Adam] Epoch 68000 | Loss: 6.484253e-03
02:54:10 | INFO | [Adam] Epoch 69000 | Loss: 6.257389e-03
02:54:19 | INFO | [Adam] Epoch 70000 | Loss: 5.770206e-03
02:54:27 | INFO | [Adam] Epoch 71000 | Loss: 5.608947e-03
02:54:36 | INFO | [Adam] Epoch 72000 | Loss: 5.455017e-03
02:54:44 | INFO | [Adam] Epoch 73000 | Loss: 5.307043e-03
02:54:52 | INFO | [Adam] Epoch 74000 | Loss: 5.168005e-03
02:55:00 | INFO | [Adam] Epoch 75000 | Loss: 5.034213e-03
02:55:08 | INFO | [Adam] Epoch 76000 | Loss: 4.907178e-03
02:55:16 | INFO | [Adam] Epoch 77000 | Loss: 4.784519e-03
02:55:24 | INFO | [Adam] Epoch 78000 | Loss: 4.668620e-03
02:55:32 | INFO | [Adam] Epoch 79000 | Loss: 4.557959e-03
02:55:41 | INFO | [Adam] Epoch 80000 | Loss: 4.081266e-03
02:55:50 | INFO | [Adam] Epoch 81000 | Loss: 3.984553e-03
